Job Profile,Company,Location,CTC,EXPERIENCE,LOGO
Online English Teacher - Work From Home,PlanetSpark,Hyderabad,"₹ 3,00,000",1-5 years,none
Business Development Executive,Urban NXT,Mumbai,"₹ 2,00,000 - 3,00,000",0-5 years,https://internshala-uploads.internshala.com/logo%2F62fb5a41460d21660639809.jpg.webp
Social Media Marketing Manager,Urban NXT,Mumbai,"₹ 2,00,000 - 3,00,000",0-5 years,https://internshala-uploads.internshala.com/logo%2F62fb5a41460d21660639809.jpg.webp
Mechanical Design Engineer,CAD Dzigner,Mumbai,"₹ 3,00,000 - 4,00,000",1-2 years,https://internshala-uploads.internshala.com/logo%2F642abda23ea6c1680522658.png.webp
Sales Associate,PlanetSpark,Gurgaon,"₹ 6,00,000 - 7,00,000",0-4 years,none
Accounts Executive,Ekostay LLP,Mumbai,"₹ 2,00,000 - 2,40,000",1-2 years,none
Corporate Sales Associate,Nexstep Infotech Private Limited,Mumbai,"₹ 3,00,000 - 6,00,000",1-3 years,none
Associate Telecaller,Best Roadways Limited,Mumbai,"₹ 2,50,000",1-3 years,https://internshala-uploads.internshala.com/logo%2F649aa45519b471687856213.png.webp
Sales Representative,PlanetSpark,Gurgaon,"₹ 6,00,000 - 7,00,000",1-5 years,none
Associate Telecaller,Paisabazaar,Mumbai,"₹ 2,50,000 - 2,75,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F3umoyoz71ze-18379.png.webp
Corporate Sales Executive,Thomas Cook,"Faridabad, Delhi, Gurgaon","₹ 2,50,000 - 3,00,000",0-2 years,none
Customer Service Associate,Paisabazaar,Gurgaon,"₹ 2,67,000 - 3,00,000",0-3 years,https://internshala-uploads.internshala.com/logo%2F3umoyoz71ze-18379.png.webp
Sales Executive,PlanetSpark,Gurgaon,"₹ 6,00,000 - 7,00,000",0-5 years,none
Executive - Music Tracking (Contractual),Saregama India Limited,Kolkata,"₹ 2,00,000 - 2,16,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F61b885deac9751639482846.png.webp
Patient Counselor,Lupin Digital Health,"Mumbai, Jaipur","₹ 2,20,000 - 3,18,000",0-2 years,none
Lyfe Care Manager,Lupin Digital Health,Work from home,"₹ 3,50,000 - 4,00,000",0-2 years,none
Senior Sales Associate,PlanetSpark,Gurgaon,"₹ 6,00,000 - 7,00,000",1-5 years,none
Online English Tutor-WFH,PlanetSpark,Mumbai,"₹ 3,00,000",1-5 years,none
English Tutor-WFH,PlanetSpark,Delhi,"₹ 3,00,000",1-5 years,none
English Teacher - Work From Home,PlanetSpark,Pune,"₹ 3,00,000",1-5 years,none
English Teacher,PlanetSpark,Bangalore,"₹ 3,00,000",1-5 years,none
.NET Developer,Hansa Cequity,"Thane, Navi Mumbai, Mumbai","₹ 5,00,000 - 7,00,000",2-5 years,https://internshala-uploads.internshala.com/logo%2F64ae54d574f1c1689146581.jpg.webp
Associate Center Manager,Cultfit Healthcare Private Limited,"Delhi, Ghaziabad, Gurgaon, Noida","₹ 2,40,000 - 2,70,000",0-3 years,https://internshala-uploads.internshala.com/logo%2F6373366b0e32e1668494955.jpg.webp
Growth Associate - Influencer Partnership,Bhanzu (Formerly Exploring Infinities),Bangalore,"₹ 3,00,000 - 3,60,000",0-3 years,none
Telecaller,Paisabazaar,Gurgaon,"₹ 2,00,000 - 3,00,000",0-5 years,https://internshala-uploads.internshala.com/logo%2F3umoyoz71ze-18379.png.webp
Inside Sale Executive,IndiaMART InterMESH Limited,Noida,"₹ 3,00,000 - 3,60,000",0-2 years,https://internshala-uploads.internshala.com/logo%2F61b380f860b701639153912.png.webp
Business Development Associate,Urban Company,"Pune, Mumbai","₹ 2,80,000 - 3,50,000",0 years,https://internshala-uploads.internshala.com/logo%2F5dvketocbza-31220.jpg.webp
Junior Operations Executive,MyGate,Bangalore,"₹ 2,50,000 - 3,00,000",0-3 years,none
HR Trainee,Wipro Infrastructure Engineering,Bangalore,"₹ 3,00,000 - 3,20,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F646483003b11b1684308736.png.webp
Graphic Designer,ITV Network Private Limited,Delhi,"₹ 3,00,000 - 4,00,000",0-1 years,none
Data Entry Executive,Collegedunia,Work from home,"₹ 2,00,000 - 2,00,002",0-1 years,none
Data Entry Executive,College Dunia,Work from home,"₹ 2,00,000 - 2,00,002",0-1 years,none
Data Entry Executive,College Dunia,Work from home,"₹ 2,00,000 - 2,00,002",0-1 years,none
Business Development Associate,Urban Company,Pune,"₹ 3,00,000",1 year,none
OMNI SPORT LEADER FITNESS,Decathlon Sports India,Gurgaon,"₹ 2,00,000 - 2,10,000",0 years,https://internshala-uploads.internshala.com/logo%2Fjo7x6pm42co-5982.png.webp
Human Resources (HR) Executive,PolicyBazaar.com,Gurgaon,"₹ 3,00,000 - 4,00,000",1-2 years,none
Omni Sports Leader,Decathlon Sports India  Private Limited,Ghaziabad,"₹ 2,00,000 - 3,12,000",0 years,https://internshala-uploads.internshala.com/logo%2F9ojp1svpn08-19279.png.webp
Java Developer,Ghar Pe Shiksha,Delhi,"₹ 2,50,000 - 3,50,000",1 year,https://internshala-uploads.internshala.com/logo%2F5e2fdd3b05e211580195131.png.webp
Sales Officer,HDFC ERGO General Insurance Company Limited,"Sitapur, Sikar","₹ 2,00,000 - 3,50,000",0-5 years,none
Business Development Associate,Urban Company,Bangalore,"₹ 3,00,000 - 3,50,000",0-1 years,none
Business Development Associate,BYJUs,Work from home,"₹ 5,00,000 - 5,76,000",0-3 years,none
HR Payroll Specialist,AQM Technologies Private Limited,Mumbai,"₹ 5,00,000 - 5,50,000",4-5 years,none
Customer Service Associate,Timezone Entertainment Private Limited,"Chennai, Pune, Hyderabad, Mumbai","₹ 2,00,000 - 2,20,000",0-3 years,none
Client Acquisition Specialist,PlanetSpark,Gurgaon,"₹ 6,00,000 - 7,00,000",0-5 years,none
Academic Counsellor (Odia & Hindi),CollegeDekho.com,Kolkata,"₹ 2,20,000 - 2,80,000",0-4 years,none
Business Development Associate,HDFC ERGO General Insurance Company Limited,"Idukki, Kundapura","₹ 2,76,500 - 3,50,000",0-2 years,none
Business Development Associate (BDA),PlanetSpark,Gurgaon,"₹ 6,00,000 - 7,00,000",0-5 years,none
Data Entry Executive,SIA Group,Hyderabad,"₹ 2,00,000 - 2,50,000",0 years,none
Associate Telecaller,Paisabazaar,Chennai,"₹ 2,23,660 - 3,00,000",0-3 years,none
Human Resources (HR) Manager,Aloe Vera Of America,Work from home,"₹ 3,00,000 - 10,00,000",0-1 years,none
Human Resources (HR) Associate,Morningstar,Navi Mumbai                                            (Hybrid),"₹ 2,50,000",0-1 years,none
Client Acquisition Associate,Square Yards,Bangalore,"₹ 2,50,000 - 3,00,000",0-1 years,none
Client Acquisition Executive,Square Yards,Bangalore,"₹ 3,00,000 - 3,50,000",0-2 years,none
Field Sales Executive,C G Marketing Private Limited,Work from home,"₹ 2,00,000 - 3,00,000",1-3 years,https://internshala-uploads.internshala.com/logo%2Fewjvr2l0vtn-14507.png.webp
Recruiter,CareerNet Technologies Private Limited,"Coimbatore, Bangalore","₹ 2,00,000 - 2,10,000",0 years,none
Business Development Executive,Prama Hikvision India Pvt Ltd,"Bangalore, Hyderabad","₹ 3,00,000 - 5,00,000",1-5 years,https://internshala-uploads.internshala.com/logo%2Fabvj7ch5ba3-51878.png.webp
Corporate Sales Associate,Paisabazaar,Mumbai,"₹ 2,00,000 - 3,00,000",0-3 years,https://internshala-uploads.internshala.com/logo%2F647f5ed5ccf221686068949.png.webp
English Teacher - Work From Home,PlanetSpark,Work from home,"₹ 3,00,000",1-5 years,none
Corporate Sales Executive,Infinity Learn,Noida,"₹ 3,00,000 - 5,00,000",0-3 years,none
Corporate Sales Associate,Paisabazaar,Mumbai,"₹ 2,00,000 - 2,80,000",0-3 years,none
Human Resources (HR) Executive,Netcore Cloud,Thane,"₹ 2,50,000 - 3,00,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F639b1be7c85701671109607.png.webp
Junior Executive Legal,Prama Hikvision India Private Limited,Mumbai,"₹ 2,00,000 - 3,00,000",0-2 years,none
Business Development Associate,Square Yards,Bangalore,"₹ 2,50,000 - 3,00,000",1-2 years,none
Business Development Associate,Urban Company,"Chandigarh, Dehradun, Ludhiana","₹ 2,50,000 - 3,20,000",0-2 years,none
Business Development Executive,Zucol Group Of Companies,Gurgaon,"₹ 2,00,000 - 2,50,000",1 year,https://internshala-uploads.internshala.com/logo%2F649162832f8aa1687249539.png.webp
Corporate Sales Associate,BrightChamps Tech Private Limited,Bangalore,"₹ 3,00,000 - 4,50,000",0-3 years,none
Academic Counsellors,CollegeDekho.com,Gurgaon,"₹ 2,50,000 - 3,00,000",0-1 years,https://internshala-uploads.internshala.com/logo%2Fd8vy3q4rwbq-8232.png.webp
Corporate Sales Specialist,Globe Teleservices Limited,Mumbai,"₹ 2,00,000 - 3,00,000",0-4 years,none
Executive Content Writer,TradeIndia (Infocom Network Private Limited),Delhi,"₹ 3,00,000 - 5,00,000",0-2 years,none
Business Development Associate,Globus,Hyderabad,"₹ 2,40,000 - 4,00,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F5f7b6a885a6d61601923720.jpg.webp
Senior Telecaller,The Smart Trader,Work from home,"₹ 2,00,000",0-1 years,none
Omni Sport Leader (Trekking/Camping),Decathlon Sport India Private Limited,"Pune, Pimpri-Chinchwad","₹ 3,00,000 - 3,50,000",0 years,https://internshala-uploads.internshala.com/logo%2F64356f154537b1681223445.png.webp
Omni Sports Leader - Skating ( Roller Sports),Decathlon Sports India  Private Limited,"Pune, Wakad","₹ 3,00,000 - 3,50,000",0-1 years,none
Senior Telecaller,Matrimony Limited,"Delhi, Noida","₹ 2,00,000 - 2,50,000",0-2 years,none
Event Manager,Meraki,"Ahmedabad, Bhubaneswar, Delhi, Lucknow, Patna, Ranchi, Thane, Mumbai, Raipur, Nagpur","₹ 5,00,000 - 7,50,000",3-5 years,none
Business Development Associate,BYJU'S The Learning App,Work from home,"₹ 2,76,000 - 5,76,000",0-5 years,none
Acquisition Editor,Pocket FM,Work from home,"₹ 5,00,000 - 10,00,000",0-3 years,https://internshala-uploads.internshala.com/logo%2F81gywdie0tj-3170.png.webp
Management Trainee- CRM,Derewala Industries Limited,Jaipur,"₹ 3,36,000 - 3,60,000",0-1 years,none
Business Development Associate,CollegeDekho.com,Gurgaon,"₹ 2,00,000 - 4,00,000",0-3 years,none
Customer Service Executive,Leverage Edu,Noida,"₹ 3,60,000 - 4,20,000",0-1 years,none
Inside Sales Specialist,IndiaMART InterMESH Limited,Noida,"₹ 3,00,000 - 3,60,000",0-3 years,none
Business Development Associate,Urban Company,"Chennai, Bangalore","₹ 3,00,000 - 4,00,000",0-2 years,none
Inside Sales Trainee,TeamLease Services,Bangalore,"₹ 2,00,000",0 years,https://internshala-uploads.internshala.com/logo%2F9xrxpv2yn7y-78566.png.webp
Inside Sales Trainee,Teamlease Services Limited,Bangalore,"₹ 2,00,000",0 years,https://internshala-uploads.internshala.com/logo%2F2n78vg416xk-78566.png.webp
Data Entry Executive,Krishnaprasad Vadlamani,Nelamangala,"₹ 2,00,000 - 3,00,000",1-3 years,https://internshala-uploads.internshala.com/logo%2Fdo74l5486fv-3006.png.webp
Business Development Associate,Urban Company,Vadodara,"₹ 2,40,000 - 3,00,000",0-3 years,none
Loan Field Executive,The Smart Trader,Work from home,"₹ 2,00,000 - 3,00,000",1-2 years,none
Academic Counsellor,Infinity Learn,Noida,"₹ 4,00,000 - 7,00,000",0-2 years,none
ORM Retention Manager,Transsion Holdings,Gurgaon,"₹ 2,40,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F64942245c35a91687429701.jpg.webp
Field Sales Associate,Urban Company,Hyderabad,"₹ 3,50,000 - 4,00,000",0 years,none
Tele Sales Executive,Paisabazaar,"Chennai, Tamil Nadu","₹ 2,00,000 - 3,50,000",0-5 years,https://internshala-uploads.internshala.com/logo%2F3umoyoz71ze-18379.png.webp
Center Manager,Cultfit Healthcare Private Limited,Mumbai,"₹ 2,00,000 - 3,00,000",0-5 years,https://internshala-uploads.internshala.com/logo%2F6373366b0e32e1668494955.jpg.webp
Junior Sales Executive,NoBrokerHood,Bangalore,"₹ 2,56,596 - 4,36,596",0-2 years,none
Academic Mentor,Vedantu,Bangalore,"₹ 3,60,000",1-5 years,none
US Staffing Recruitment,Compunnel Technology Private Limited,"Panjim, Panaji","₹ 2,00,000",0-2 years,none
Field Sales Executive,The Smart Trader,Work from home,"₹ 2,00,000 - 3,00,000",1-2 years,none
Omni Sport Leader,Decathlon Sports India,Mumbai,"₹ 3,24,000",0 years,https://internshala-uploads.internshala.com/logo%2F2474kqol0nj-8076.jpg.webp
Associate - Instructional Designer,Internshala Trainings,Gurgaon,"₹ 4,00,000 - 6,00,000",1-2 years,https://internshala-uploads.internshala.com/logo%2F5e311ed11310d1580277457.jpg.webp
Human Resources (HR) Associate,Godrej Properties Limited,Mumbai,"₹ 3,00,000 - 3,60,000",1-3 years,https://internshala-uploads.internshala.com/logo%2Fea8l4z4lvpd-15415.png.webp
Tele Sales Executive - Malad West (Mumbai),Paisabazaar,"Mumbai, Goregaon Kh","₹ 2,00,000 - 2,50,000",0-5 years,https://internshala-uploads.internshala.com/logo%2F3umoyoz71ze-18379.png.webp
American Express Sales Associate,Paisabazaar,Chennai,"₹ 2,92,000 - 3,52,000",0-4 years,https://internshala-uploads.internshala.com/logo%2F3umoyoz71ze-18379.png.webp
Corporate Sales Executive,Thomas Cook,Meerut,"₹ 3,00,000 - 3,50,000",0-2 years,none
Associate Content Writer,Zucol Group Of Companies,"Indore, Pithampur, Dewas, Mhow","₹ 2,00,000 - 2,40,000",0 years,none
Officer / Senior Executive (Digital Office Vertical),HDFC ERGO General Insurance Company Limited,"Bharatpur, Kashipur, Sitapur, Roorkee, Muzzafarpur","₹ 2,00,000 - 3,50,000",0-5 years,none
Customer Service Associate,Datamatics Business Solutions,Mumbai,"₹ 2,00,000 - 2,05,000",0-1 years,none
Executive Assistant To CEO,Hansa Cequity,Kurla,"₹ 5,00,000 - 6,00,000",2 years,https://internshala-uploads.internshala.com/logo%2F64ae54d574f1c1689146581.jpg.webp
Business Development Associate,BYJU'S The Learning App,Work from home,"₹ 2,70,000 - 5,70,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F647edd03d8a921686035715.png.webp
Junior Social Media Marketing Executive,AskMeOffers,Work from home,"₹ 2,00,000 - 3,00,000",0-5 years,none
Associate Video Editor,AskMeOffers,Work from home,"₹ 2,00,000 - 3,00,000",0-5 years,none
Corporate Sales Manager,BrightChamps Tech Private Limited,"Mysuru, Bangalore","₹ 3,00,000 - 4,00,000",0-2 years,none
Telesales Executive,Cultfit Healthcare Private Limited,Bangalore,"₹ 3,00,000 - 4,00,000",1-2 years,https://internshala-uploads.internshala.com/logo%2F6373366b0e32e1668494955.jpg.webp
Customer Service Executive,Narayana's Learning App,Hyderabad,"₹ 2,00,000 - 3,00,000",0-3 years,none
Business Development Manager,Reliance Nippon Life Insurance,"Bangalore, Mumbai, Salem, Nashik, Kerala, Tamil Nadu","₹ 2,00,000",1-5 years,none
Corporate Sales Executive,No Broker,Bangalore,"₹ 2,00,000 - 2,50,000",0-1 years,none
Business Development Executive (sales),PlanetSpark,Gurgaon,"₹ 6,00,000 - 7,00,000",0-5 years,none
Telesales Associate | Paisabazaar | Outbound Sales - Financial Products | Day Shift,Paisabazaar,Gurgaon,"₹ 2,25,000 - 2,80,000",0-3 years,https://internshala-uploads.internshala.com/logo%2F3umoyoz71ze-18379.png.webp
Sales Associate,PlanetSpark,Gurgaon,"₹ 6,00,000 - 7,00,000",0-4 years,none
Inside Sales Executive,PlanetSpark,Gurgaon,"₹ 6,00,000 - 7,00,000",0-5 years,none
BDE-Business Development Executive,PlanetSpark,Gurgaon,"₹ 6,00,000 - 7,00,000",1-5 years,none
Sales Development Representative,PlanetSpark,Gurgaon,"₹ 6,00,000 - 7,00,000",0-5 years,none
Field Sales Executive,Decathlon Sports India,Mumbai,"₹ 3,30,000 - 4,00,000",0-2 years,https://internshala-uploads.internshala.com/logo%2F63273f2487b871663516452.png.webp
Business Development Associate,Urban Company,Chennai,"₹ 2,40,000 - 3,00,000",0-2 years,https://internshala-uploads.internshala.com/logo%2F626a577d5b5e91651136381.png.webp
Associate Professor,Physics Wallah,"Mysuru, Raichur, Hubli, Haveri, Tumkur, Kalburgi Sub-District","₹ 10,00,000 - 15,00,000",2-5 years,https://internshala-uploads.internshala.com/logo%2F605461b6cc4ea1616142774.png.webp
Telecaller,RK Enterprise,Work from home,"₹ 2,00,000 - 2,25,000",0-2 years,none
Online English Tutor,PlanetSpark,"Jammu, Himachal Pradesh","₹ 3,00,000",1-5 years,none
English Tutor - WFH,PlanetSpark,"Agra, Ghaziabad, Gurgaon, Indore, Lucknow, Bhopal, Kanpur Dehat","₹ 3,00,000",1-5 years,none
Online English Teacher - Work From Home,PlanetSpark,Hyderabad,"₹ 3,00,000",1-5 years,none
Junior Copywriter,Hansa Cequity,"Mumbai, Kurla","₹ 3,00,000 - 6,00,000",0-5 years,https://internshala-uploads.internshala.com/logo%2F64ae54d574f1c1689146581.jpg.webp
Graphic Designer,Hansa Cequity,Kurla,"₹ 3,00,000 - 6,00,000",0-5 years,https://internshala-uploads.internshala.com/logo%2F64ae54d574f1c1689146581.jpg.webp
Human Resources (HR) Executive,Hansa Cequity,Kurla,"₹ 2,00,000 - 4,00,000",1-5 years,https://internshala-uploads.internshala.com/logo%2F64ae54d574f1c1689146581.jpg.webp
Business Development Executive,Tutornet Educations Private Limited,Work from home,"₹ 2,00,000",0-2 years,https://internshala-uploads.internshala.com/logo%2Fcv2d015eyti-4751.jpg.webp
Corporate Sales Executive,"NoBroker Technologies Solutions Private Limited (Bangalore, India)",Dubai (United Arab Emirates),"AED 55,000 - 60,000",0-2 years,none
Business Analyst,Viacom 18 Media Private Limited,Mumbai,"₹ 2,00,000 - 2,50,000",0-2 years,none
Electric Vehicle Service Technician,LabourNet,Bangalore                                            (Hybrid),"₹ 2,00,000",0-2 years,none
Business Development Associate,Urban Company,Delhi,"₹ 3,00,000 - 3,40,000",0-2 years,https://internshala-uploads.internshala.com/logo%2F649be39c2460e1687937948.png.webp
Field Sales Executive,NoBroker,"Pune, Bangalore, Hyderabad","₹ 2,40,000 - 4,20,000",0-2 years,none
Corporate Sales Executive,Gautam Modi Group,Mumbai,"₹ 3,00,000 - 5,00,000",0-5 years,https://internshala-uploads.internshala.com/logo%2F82177iqnfai-2373.png.webp
Sales Manager,Tutornet Educations Private Limited,Work from home,"₹ 4,00,000 - 7,00,000",0-5 years,https://internshala-uploads.internshala.com/logo%2Fbj63zb6wo0r-29202.jpg.webp
Business Development Associate,Yash Devnani,Mumbai,"₹ 3,00,000 - 3,50,000",0-3 years,none
Junior Sales Executive,NoBroker,Bangalore,"₹ 3,00,000 - 3,50,000",0-1 years,none
Business Development Associate,Urban Company,Hyderabad,"₹ 3,20,000 - 3,90,000",0-2 years,https://internshala-uploads.internshala.com/logo%2F26pedezfgdb-28528.png.webp
AMERICAN EXPRESS CREDIT CARDS ASSOCIATE,Paisabazaar,"Navi Mumbai, Mumbai","₹ 3,00,000 - 3,50,000",0-5 years,https://internshala-uploads.internshala.com/logo%2F3umoyoz71ze-18379.png.webp
Omni Sport Leader,Decathlon Sport India Private Limited,Mumbai,"₹ 3,00,000 - 3,50,000",0 years,none
Corporate Sales Executive,NoBroker,Bangalore,"₹ 4,36,596",0-1 years,none
Customer Experience Executive (VKYC),Navi Technologies Private Limited,Bangalore,"₹ 2,60,000",0-2 years,https://internshala-uploads.internshala.com/logo%2Fg53a386l7zp-1539.png.webp
AMEX Credit Card Sales Associate (Voice Process),Paisabazaar,"Mumbai, Chennai","₹ 2,92,000 - 3,52,000",0-2 years,https://internshala-uploads.internshala.com/logo%2F3umoyoz71ze-18379.png.webp
Business Development Associate,PlanetSpark,Gurgaon,"₹ 6,00,000 - 7,00,000",0-1 years,none
Business Development Manager,Rotomaker,Hyderabad,"₹ 2,00,000 - 3,00,000",0-1 years,none
Business Development Associate,Urban Company,"Ahmedabad, Vadodara","₹ 2,40,000 - 3,00,000",0-2 years,none
Digital Marketing,Brainvire Infotech Private Limited,Ahmedabad,"₹ 2,00,000 - 3,00,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F6347f98b7c2401665661323.png.webp
Business Development Manager,PlanetSpark,Gurgaon,"₹ 6,00,000 - 10,00,000",2-5 years,none
